UserID	DegreeType	Major	GraduationDate	WorkHistoryCount	TotalYearsExperience	JobTitle	Des	Cluster	Industry
6524	Bachelor's	Computer Science		7	8.0	MS SQL Server  /SSRS/SSIS Developer, MS SQL Server / SSIS /SSRS / SSAS Developer, MS SQL Server / SSIS / SSRS/ SSAS Developer, MS SQL Server / SSIS/ SSRS/ SSAS Developer, MS SQL Server / DTS / Developer, MS SQL Server Developer, MS SQL Server Developer	Computer Science MS SQL Server  /SSRS/SSIS Developer, MS SQL Server / SSIS /SSRS / SSAS Developer, MS SQL Server / SSIS / SSRS/ SSAS Developer, MS SQL Server / SSIS/ SSRS/ SSAS Developer, MS SQL Server / DTS / Developer, MS SQL Server Developer, MS SQL Server Developer	8	Technology & Engineering
220314		Real Estate Salesperson	2011-12-01	6	7.0	Mortgage Loan Adjuster, Credit Loan Adjuster, Assisted property manager, Credit Loan Adjuster, Credit Loan Adjuster/ Customer Service	Real Estate Salesperson Mortgage Loan Adjuster, Credit Loan Adjuster, Assisted property manager, Credit Loan Adjuster, Credit Loan Adjuster/ Customer Service	0	Finance & Accounting & Business
288544	Master's	Not available	2008-01-01	4	8.0	Business Analyst, NACI Investigation and Public Trust, Inactive Top, Intern, Top Secret Clearance w/poly, Intern-SAMHSA, CMHS, Intern-SAMHSA, CSAP	Business Analyst, NACI Investigation and Public Trust, Inactive Top, Intern, Top Secret Clearance w/poly, Intern-SAMHSA, CMHS, Intern-SAMHSA, CSAP	0	Finance & Accounting & Business
294651	High School	Not available	1984-01-01	7	28.0	Composite Technician, Plumbing and Heating Technician, Plumbing Service Technician, Mail Machine Service Technician, Machinist - Class, Skid Loader Operator, Skilled Labor	Composite Technician, Plumbing and Heating Technician, Plumbing Service Technician, Mail Machine Service Technician, Machinist - Class, Skid Loader Operator, Skilled Labor	2	Technology & Engineering
381518		Certified Nursing Program		3	3.0	CNA-Trainee-clinicals, Volunteer-Activity Assistant, Sales Representative	Certified Nursing Program CNA-Trainee-clinicals, Volunteer-Activity Assistant, Sales Representative	0	Healthcare & Medical
411929	Associate's	Avionic Systems	2005-05-01	3	6.0	Integrated Avionic System Technician, Commercial/Residential Electrician, Electrician	Avionic Systems Integrated Avionic System Technician, Commercial/Residential Electrician, Electrician	0	Technology & Engineering
453857	Bachelor's	Family, Youth, &Community Sciences	2005-12-01	10	12.0	Dependency Case Manager, Customer Service  Representative, Package Handler, Department of Juvenile Justice, Volunteer Mentor Program, Internship, Clerk, Financial Aide Secretary, Childcare Specialist, Data Entry Clerk	Family, Youth, &Community Sciences Dependency Case Manager, Customer Service  Representative, Package Handler, Department of Juvenile Justice, Volunteer Mentor Program, Internship, Clerk, Financial Aide Secretary, Childcare Specialist, Data Entry Clerk	0	Education & Social Sciences
492924		Education		1	0.0	Receptionist	Education Receptionist	0	Education & Social Sciences
527890	High School	Not available	2003-01-01	3	4.0	Veterinary Assistant, Cashier, Animal caretaker	Veterinary Assistant, Cashier, Animal caretaker	2	Healthcare & Medical
565602		Computer/Information Technology Services Administration andManagement, Other	2012-01-01	2	13.0	Legal Assistant/ Collections Specialist, ROI TEch	Computer/Information Technology Services Administration andManagement, Other Legal Assistant/ Collections Specialist, ROI TEch	0	Administrative & Office Support
602768	Bachelor's	Goal	2011-12-01	10	25.0	Project/Construction Manager/Consultant, Project Manager, Project Manager, Project Manager, Project Manager, Systems Application Engineer, Systems Analyst, Energy Manager, Air Conditioning Shop Supervisor, Project/Construction Manger/Consultant, Air Conditioning Mechanic	Goal Project/Construction Manager/Consultant, Project Manager, Project Manager, Project Manager, Project Manager, Systems Application Engineer, Systems Analyst, Energy Manager, Air Conditioning Shop Supervisor, Project/Construction Manger/Consultant, Air Conditioning Mechanic	0	Technology & Engineering
732627		Not available	2009-09-01	5	7.0	Nursing Asst, Physical Therapy Aid, Medical Asst, Medical Assistant/Receptionist, Medical Assistant	Nursing Asst, Physical Therapy Aid, Medical Asst, Medical Assistant/Receptionist, Medical Assistant	0	Healthcare & Medical
758811	High School	Not available	2004-01-01	4	7.0	Customer Service Associate, Package handler, Healthcare Assistant/Receptionist, Pharmacy assistant/cashier	Customer Service Associate, Package handler, Healthcare Assistant/Receptionist, Pharmacy assistant/cashier	2	Healthcare & Medical
773768	High School	Not available	2003-06-01	6	9.0	Stand up and sit down forklift operator, Shipping and Receiving Clerk/Forklift operator, Forklift Operator, Cashier, Forklift operator, Forklift operator	Stand up and sit down forklift operator, Shipping and Receiving Clerk/Forklift operator, Forklift Operator, Cashier, Forklift operator, Forklift operator	0	Retail & Customer Support
816686		Not available	2010-06-01	2	1.0	cashier, STNA Intern	cashier, STNA Intern	0	Retail & Customer Support
819039	High School	Not available	2009-08-01	4	7.0	mail clerk, secretary, Waitress/Cook, call center customer service rep/ canvasser	mail clerk, secretary, Waitress/Cook, call center customer service rep/ canvasser	0	Retail & Customer Support
867440	Master's	Finance	1990-01-01	6	21.0	Consultant, Finance and Accounting, Controller and assistant Chief Financial Officer, Financial Controller, USA Projects, Chief Financial Officer, Subsidiaries, Chief Financial Officer	Finance Consultant, Finance and Accounting, Controller and assistant Chief Financial Officer, Financial Controller, USA Projects, Chief Financial Officer, Subsidiaries, Chief Financial Officer	0	Finance & Accounting & Business
882120	Bachelor's	Business Administration	2010-03-01	4	8.0	Administrative Assistant, Receptionist & Accounting Clerk, Assistant Manager/Leasing Administrator, Assistant Manager/Leasing Administrator, Leasing Director	Business Administration Administrative Assistant, Receptionist & Accounting Clerk, Assistant Manager/Leasing Administrator, Assistant Manager/Leasing Administrator, Leasing Director	1	Administrative & Office Support
946398	High School	Education, General	2008-11-01	3	4.0	Stow/receive, Custodian/ General labor, Picker/packer	Education, General Stow/receive, Custodian/ General labor, Picker/packer	0	Retail & Customer Support
1007323	Bachelor's	Not available		10	14.0	IT Security Engineer, IT Security Analyst, Information Security Officer, National Desktop Deployment Technician, IT Desktop Support Specialist (Bowhead IT Support Services), General Services Administration, XP Migration Technician, XP Migration Technician, IT Specialist, Sr Information Systems Technician	IT Security Engineer, IT Security Analyst, Information Security Officer, National Desktop Deployment Technician, IT Desktop Support Specialist (Bowhead IT Support Services), General Services Administration, XP Migration Technician, XP Migration Technician, IT Specialist, Sr Information Systems Technician	0	Technology & Engineering
1017444	High School	Business Administration and Management, General	1983-05-01	5	21.0	Inside Sales, Sales Management, Inside Sales Manager, Account Executive/Sales	Business Administration and Management, General Inside Sales, Sales Management, Inside Sales Manager, Account Executive/Sales	1	Sales & Account Management
1022587	Bachelor's	Business Administration	2011-06-01	5	11.0	Visiting Nurse Services, Contract Executive Assistant to the Vice, Executive Assistant/Legal Secretary, Contract Administrative Assistant, Executive Assistant to the Vice President / Office Manager	Business Administration Visiting Nurse Services, Contract Executive Assistant to the Vice, Executive Assistant/Legal Secretary, Contract Administrative Assistant, Executive Assistant to the Vice President / Office Manager	1	Administrative & Office Support
1027331	High School	Not available	2010-01-01	4	3.0	Cashier, Hostess, Everything, Food Ave.	Cashier, Hostess, Everything, Food Ave.	2	Retail & Customer Support
1101805	Master's	Information Technology		5	25.0	Quality Assurance Manager, Supplier Quality Engineer, Supplier Quality Engineer, Global technology, aerospace, and defense systems leader, Senior Quality Engineer	Information Technology Quality Assurance Manager, Supplier Quality Engineer, Supplier Quality Engineer, Global technology, aerospace, and defense systems leader, Senior Quality Engineer	0	Technology & Engineering
1145270	High School	Education, General	1989-05-01	4	19.0	shift manager, Processor/unloader, Asst. Manager, Asst. Manager	Education, General shift manager, Processor/unloader, Asst. Manager, Asst. Manager	0	Retail & Customer Support
1166237		Childhood Development		3	13.0	Direct Care Worker (DCW), Training Specialist/ Job Coach, Respite Worker	Childhood Development Direct Care Worker (DCW), Training Specialist/ Job Coach, Respite Worker	0	Healthcare & Medical
1257424		Not available	2011-12-01	10	27.0	Licensed Practical Nurse, Licensed Practical Nurse, Personal Home Health, Licensed Practical Nurse, Nursing Student, Route Driver-CSR, Grocery Clerk, Salesperson, Quality Control Technician, Research/Chemical Technician, Petroleum Laboratory Specialist	Licensed Practical Nurse, Licensed Practical Nurse, Personal Home Health, Licensed Practical Nurse, Nursing Student, Route Driver-CSR, Grocery Clerk, Salesperson, Quality Control Technician, Research/Chemical Technician, Petroleum Laboratory Specialist	0	Healthcare & Medical
1390746	Bachelor's	Psychology	1982-01-01	10	28.0	Document production, project management, code research, Leed research, Project Manager, Design Engineer, Director of Construction/Fabrication, Class 1 assembler, Shop Foreman, Design Assistant and Shop Supervisor, Woodshop Manager, Apprentice	Psychology Document production, project management, code research, Leed research, Project Manager, Design Engineer, Director of Construction/Fabrication, Class 1 assembler, Shop Foreman, Design Assistant and Shop Supervisor, Woodshop Manager, Apprentice	7	Technology & Engineering
48281		BANKING		7	37.0	L SUPERVISOR, ACCOUNTING ASSISTANT, FULL CHARGE BOOKKEEPER, A/R BILLING, CONTROLLER REPORTS, FULL CHARGE BOOKKEEPER / SECRETARY, NEW ACCOUNTS, CSR, ROTATING CSR SUPERVISOR	BANKING L SUPERVISOR, ACCOUNTING ASSISTANT, FULL CHARGE BOOKKEEPER, A/R BILLING, CONTROLLER REPORTS, FULL CHARGE BOOKKEEPER / SECRETARY, NEW ACCOUNTS, CSR, ROTATING CSR SUPERVISOR	0	Finance & Accounting & Business
276531	Bachelor's	Computer Science	2002-06-01	5	16.0	General Manager, Sr. Application & System Analyst, IT Support, Tech Support, PC Support Technician	Computer Science General Manager, Sr. Application & System Analyst, IT Support, Tech Support, PC Support Technician	8	Technology & Engineering
295624	High School	Not available	2005-06-01	6	8.0	Waiter/ Host Manager, Driver/Assistant and General Manager, Sales Associate, Meat &amp; Produce Sales Associate, Assistant Manager, Cook/Register	Waiter/ Host Manager, Driver/Assistant and General Manager, Sales Associate, Meat &amp; Produce Sales Associate, Assistant Manager, Cook/Register	0	Sales & Account Management
523970	Master's	Organizational Management		4	14.0	SPECIALIST LEADER, Program Management / EPMO, DIRECTORSenior Program Manager, DIRECTOR, Project Management / Software Engineering, SENIOR PRINCIPAL CONSULTANT	Organizational Management SPECIALIST LEADER, Program Management / EPMO, DIRECTORSenior Program Manager, DIRECTOR, Project Management / Software Engineering, SENIOR PRINCIPAL CONSULTANT	0	Technology & Engineering
633164	Bachelor's	Nursing	2011-03-01	5	7.0	Staff Nurse, Paralegal, Field Care Manager, Family Care Coordinator, Passport Program Team Leader	Nursing Staff Nurse, Paralegal, Field Care Manager, Family Care Coordinator, Passport Program Team Leader	0	Healthcare & Medical
791294	Bachelor's	Educational Psychology	2012-05-01	6	7.0	Account Auditor, Facility/ Buyer Manager, Head of Collections, Cashier, Promotions Manager, Advertising/ Marketing Representative	Educational Psychology Account Auditor, Facility/ Buyer Manager, Head of Collections, Cashier, Promotions Manager, Advertising/ Marketing Representative	0	Sales & Account Management
874604	High School	General Studies	1985-05-01	6	12.0	Maintenance worker, Automotive Tech, Maintenence Worker, Label Printer/Mixer, Department Manager, Machine Operator	General Studies Maintenance worker, Automotive Tech, Maintenence Worker, Label Printer/Mixer, Department Manager, Machine Operator	6	Technology & Engineering
1072345		Criminal Justice		6	7.0	Administrative Assistant, College Gymnasium  Manager, Loss Prevention Agent, alarm responder, Cashier, Telemarketer	Criminal Justice Administrative Assistant, College Gymnasium  Manager, Loss Prevention Agent, alarm responder, Cashier, Telemarketer	3	Administrative & Office Support
1108143	Associate's	Criminal Justice/Computer Forensics	2010-12-01	2	4.0	Restaurant Worker/Server/Cook, Cook	Criminal Justice/Computer Forensics Restaurant Worker/Server/Cook, Cook	0	Retail & Customer Support
1196598		Not available	2001-01-01	10	18.0	Finance Manager, Sales Consultant, Sales and Finance Manager, General Sales Manager, Sales Manager, Special Finance Manager, Finance and Sales Manager, Sales and leasing Consultant, Sales and Leasing Consultant, Assistant Manager	Finance Manager, Sales Consultant, Sales and Finance Manager, General Sales Manager, Sales Manager, Special Finance Manager, Finance and Sales Manager, Sales and leasing Consultant, Sales and Leasing Consultant, Assistant Manager	0	Sales & Account Management
1203554	High School	High School	2011-06-01	4	5.0	sales associate, Sales Associate, Customer Service(party planner), Office Assistant	High School sales associate, Sales Associate, Customer Service(party planner), Office Assistant	0	Sales & Account Management
1211363	High School	General Ed	1981-09-01	3	13.0	Controller, Controller, Staff Accountant	General Ed Controller, Controller, Staff Accountant	0	Finance & Accounting & Business
1280903	Bachelor's	Accounting	2012-06-01	3	3.0	Relocation Accounting Analysis Internship, Supervisor, Material Handler	Accounting Relocation Accounting Analysis Internship, Supervisor, Material Handler	5	Finance & Accounting & Business
1291985	Bachelor's	Biology	1982-01-01	10	30.0	Field Service Technician, water operator, Environmental Technician, Machine Operator, LEAD LABORATORY TECHNICIAN, LABORATORY TECHNICIAN, EVIRONMENATAL TECHNICIAN, CHEMICAL OPERATOR, WASTE WATER OPERATOR II	Biology Field Service Technician, water operator, Environmental Technician, Machine Operator, LEAD LABORATORY TECHNICIAN, LABORATORY TECHNICIAN, EVIRONMENATAL TECHNICIAN, CHEMICAL OPERATOR, WASTE WATER OPERATOR II	0	Technology & Engineering
1298949		Not available		5	16.0	customer service representive, Administrative Data Entry Mail Clerk/ Claims Adjuster, Sales Associate/ Customer Service Associate, Sales Agent, Customer Service Representative	customer service representive, Administrative Data Entry Mail Clerk/ Claims Adjuster, Sales Associate/ Customer Service Associate, Sales Agent, Customer Service Representative	0	Sales & Account Management
1325907		Not available		5	8.0	Corp. Admin, Assistant IV, Coordinator/Assistant to V.P, Executive Assistant, Specialist	Corp. Admin, Assistant IV, Coordinator/Assistant to V.P, Executive Assistant, Specialist	0	Administrative & Office Support
1333343	Associate's	General	2008-01-01	3	10.0	Office Administrator, Sales Lead/Email and Technical Support Rep, Sales Rep/Lead	General Office Administrator, Sales Lead/Email and Technical Support Rep, Sales Rep/Lead	6	Sales & Account Management
1373784	Vocational	Medical Biller/Health Claims Examiner	2011-11-01	4	9.0	Medical biller, After School Coach, Waitress, Crew Member	Medical Biller/Health Claims Examiner Medical biller, After School Coach, Waitress, Crew Member	0	Healthcare & Medical
1399301		Rk Management/WellPoint Inc		3	9.0	Help Desk/ Security Data Analyst, Customer Service Representative, Data Entry Clerk/ Market Research	Rk Management/WellPoint Inc Help Desk/ Security Data Analyst, Customer Service Representative, Data Entry Clerk/ Market Research	0	Technology & Engineering
24686		Not available	2012-05-01	4	7.0	insurance through in-home and workplace sales, Carpenter	insurance through in-home and workplace sales, Carpenter	0	Sales & Account Management
163962	Bachelor's	Accounting		1	11.0	Accountant/Human Resource Supervisor	Accounting Accountant/Human Resource Supervisor	5	Finance & Accounting & Business
187671	Associate's	Business Management		3	1.0	Network Control Specialist, Help Desk Support	Business Management Network Control Specialist, Help Desk Support	11	Technology & Engineering
214501	High School	general	2009-01-01	1	2.0	Team Member	general Team Member	6	Retail & Customer Support
326032		North Carolina Certified Nursing Assistant I	2012-04-01	0			North Carolina Certified Nursing Assistant I	0	Healthcare & Medical
379817	Associate's	business	2013-05-01	4	6.0	Packaging Line Tech, Inventory Manangement Associate, General Labor, Laborer	business Packaging Line Tech, Inventory Manangement Associate, General Labor, Laborer	9	Technology & Engineering
423241		Medical Office Assistant	2009-05-01	5	11.0	Medical Assistant, Cashier (Temp), Secretary (Seasonal), Home Attendant, Sales Person	Medical Office Assistant Medical Assistant, Cashier (Temp), Secretary (Seasonal), Home Attendant, Sales Person	0	Healthcare & Medical
680691	Bachelor's	Criminal Justice	2012-12-01	9	12.0	Clinical Systems Associate (Contractor), Clinical Research Assistant, TANF Case Manager (lay off), ExamCentral Coordinator (lay off), Workforce/Operations Coordinator (lay off), Retention Specialist (lay off), Service Coordinator (relocated), HUMAN RESOURCES COORDINATOR/ADMIN.ASST./STAFFING COORDINATOR (lay off), MEDICAL SUPPORT ASSISTANT (transferred)	Criminal Justice Clinical Systems Associate (Contractor), Clinical Research Assistant, TANF Case Manager (lay off), ExamCentral Coordinator (lay off), Workforce/Operations Coordinator (lay off), Retention Specialist (lay off), Service Coordinator (relocated), HUMAN RESOURCES COORDINATOR/ADMIN.ASST./STAFFING COORDINATOR (lay off), MEDICAL SUPPORT ASSISTANT (transferred)	3	Administrative & Office Support
736803	High School	Not available		6	10.0	Janitor, Janitor, Assembler/ Packer, Cashier	Janitor, Janitor, Assembler/ Packer, Cashier	2	Retail & Customer Support
813527	Associate's	Business Administration		5	13.0	Senior Accountant, Financial Analyst, Financial Analyst, Team Lead- Loan Accounting Adjustments, Annuity Underwriter	Business Administration Senior Accountant, Financial Analyst, Financial Analyst, Team Lead- Loan Accounting Adjustments, Annuity Underwriter	1	Finance & Accounting & Business
847799	Master's	Early Childhood Education and Teaching	1982-01-01	10	22.0	Business Development Manager, Freelance Editor, Physician Relations Marketing Manager, Physician Relations Marketing Manager (Contract), Community Relations Manager (Contract), Senior Mental Health, Adjunct Prof, Adjunct Prof, Adjunct Prof, Adjunct Prof	Early Childhood Education and Teaching Business Development Manager, Freelance Editor, Physician Relations Marketing Manager, Physician Relations Marketing Manager (Contract), Community Relations Manager (Contract), Senior Mental Health, Adjunct Prof, Adjunct Prof, Adjunct Prof, Adjunct Prof	0	Sales & Account Management
855342	High School	General Studies	1993-06-01	3	8.0	Home Repair, Warehouse Worker 1, Forklift Operator	General Studies Home Repair, Warehouse Worker 1, Forklift Operator	6	Technology & Engineering
936020	Vocational	Medical Insurance Coding Specialist/Coder	2011-12-01	1	7.0	92 yankee	Medical Insurance Coding Specialist/Coder 92 yankee	0	Administrative & Office Support
1035112	Bachelor's	Business Administration	2012-05-01	4	32.0	Cashier/ Customer Service, Receptionist, Financial Administrator/Office Manager	Business Administration Cashier/ Customer Service, Receptionist, Financial Administrator/Office Manager	1	Sales & Account Management
1116534	High School	Not available	1992-01-01	5	15.0	Assistant, General Manager, Sergeant, Effective Leadership, Management, Counseling and Administrative, Knowledge of Leadership and Supervisory Skills Excellent	Assistant, General Manager, Sergeant, Effective Leadership, Management, Counseling and Administrative, Knowledge of Leadership and Supervisory Skills Excellent	2	Administrative & Office Support
1176506		Not available	2003-01-01	7	12.0	Customer Service/Sales, Customer Care Agent for the Usaa campaign, CSR, Loan Officer, Cashier, Store Manager, Front Desk Help	Customer Service/Sales, Customer Care Agent for the Usaa campaign, CSR, Loan Officer, Cashier, Store Manager, Front Desk Help	0	Sales & Account Management
1199132	Master's	Church Ministries	2008-12-01	10	5.0	General Service Technician, Weld Inspector, Store Manager, Assistant Manager, Closing Porter, Department Manager, Automotive Technician, Welder, Press Operator, General Contractor	Church Ministries General Service Technician, Weld Inspector, Store Manager, Assistant Manager, Closing Porter, Department Manager, Automotive Technician, Welder, Press Operator, General Contractor	0	Technology & Engineering
1264311		Not available		4	3.0	Resident Assiant, Retail, Retail, warehouse	Resident Assiant, Retail, Retail, warehouse	0	Retail & Customer Support
1268627	Bachelor's	Linguistics		7	22.0	Truck Driver, Driving Instructor, School Bus Driver, Senior Applications Developer, Y2K Programmer, Programmer/Analyst, Assistant Director of the Computer Center	Linguistics Truck Driver, Driving Instructor, School Bus Driver, Senior Applications Developer, Y2K Programmer, Programmer/Analyst, Assistant Director of the Computer Center	0	Technology & Engineering
1419655	Bachelor's	Pharmacy Technician	2012-02-01	4	6.0	Call Center Rep, Sales Associate, Customer Service Rep, Telemarketer	Pharmacy Technician Call Center Rep, Sales Associate, Customer Service Rep, Telemarketer	0	Sales & Account Management
6408	Bachelor's	English	2011-01-01	8	7.0	Engineer/Maintenance, Contractor, Crew Member, Telemarketing, Retail, specialty - Suits, Crew Member, Manager, Retail, specialty - Jewelry	English Engineer/Maintenance, Contractor, Crew Member, Telemarketing, Retail, specialty - Suits, Crew Member, Manager, Retail, specialty - Jewelry	0	Technology & Engineering
225279	Master's	Accounting and Financial Management-CPA	2012-06-01	5	20.0	Accounts Payable Accountant - Inventory Payables, Accounts Payable Accountant - Miscellaneous Payables, Full Charge Bookkeeper, Transportation Management Coordinator, Accounts Payable Bookkeeper - Miscellaneous Payables	Accounting and Financial Management-CPA Accounts Payable Accountant - Inventory Payables, Accounts Payable Accountant - Miscellaneous Payables, Full Charge Bookkeeper, Transportation Management Coordinator, Accounts Payable Bookkeeper - Miscellaneous Payables	0	Finance & Accounting & Business
360408	High School	Not available	1975-01-01	6	37.0	Oasis Volunteer Services, Caretaker, Executive assistant & office manager, Volunteer lunch coordinator, Sports coordinator, Board Secretary, executive assistant & office manager	Oasis Volunteer Services, Caretaker, Executive assistant & office manager, Volunteer lunch coordinator, Sports coordinator, Board Secretary, executive assistant & office manager	2	Administrative & Office Support
365216	Bachelor's	Education		5	6.0	INTERNSHIP, Sunday School Teacher, Student Assistant, Head Cashier, Group Fitness Instructor	Education INTERNSHIP, Sunday School Teacher, Student Assistant, Head Cashier, Group Fitness Instructor	0	Education & Social Sciences
442583		Not available		3	4.0	Putaway Team Member, Black Ops Specialist, Cell Phone Repair Technician and Refurb Contractor	Putaway Team Member, Black Ops Specialist, Cell Phone Repair Technician and Refurb Contractor	0	Technology & Engineering
522439		Not available		3	3.0	Representative, Customer Service, Passenger Assistant	Representative, Customer Service, Passenger Assistant	0	Sales & Account Management
528831	High School	general	1985-06-01	5	19.0	Production Machine Operator / Team Leader, Customer Service Representative, assembly, customer service, Repair Technician, Assembly Technician	general Production Machine Operator / Team Leader, Customer Service Representative, assembly, customer service, Repair Technician, Assembly Technician	6	Technology & Engineering
